Date,U1,U3,Speed1
,1.18516,-2.32847,0
,1.29364,-2.15608,0
,1.0499,-2.19918,0
,1.21858,-2.0279,0
,1.02236,-2.08062,0
,1.10415,-1.89387,0
,1.00057,-1.93933,0
,1.07259,-1.82441,0
,0.99312,-1.88077,0
,1.07811,-1.78226,0
,0.97986,-1.82125,0
,1.05199,-1.73395,0
,0.96112,-1.80673,0
,1.04528,-1.72006,0
,0.96108,-1.83783,0
,1.04173,-1.76111,0
,0.9799,-1.85614,0
,1.04781,-1.77389,0
,0.96123,-1.91139,0
,1.04228,-1.79378,0
,0.95484,-1.95828,0
,1.04789,-1.86088,0
,0.97769,-2.03105,0
,1.05558,-1.8604,0
,1.00196,-2.21591,0
,1.09721,-2.01227,0
,0.96846,-2.27416,0
,1.07282,-2.08204,0
,0.90785,-2.18844,0
,1.02094,-2.05268,0
,0.82064,-2.22712,0
,0.93417,-2.11898,0
,0.76939,-2.23186,0
,0.90003,-2.0983,0
,0.77373,-2.18876,0
,0.94423,-1.88093,0
,0.88851,-1.9327,0
,1.05041,-1.74595,0
,0.99608,-1.82441,0
,1.1092,-1.67397,0
,1.01746,-1.74721,0
,1.14476,-1.54136,0
,0.97828,-1.65281,0
,1.13623,-1.40007,0
,0.97027,-1.45154,0
,1.08955,-1.26226,0
,0.91298,-1.61129,0
,1.17325,-1.1677,0
,0.92047,-1.53883,0
,1.22123,-1.04756,0
,0.7652,-1.38113,0
,1.13473,-0.84108,0
,0.68632,-1.22137,0
,1.01052,-0.78172,0
,0.7293,-1.16312,0
,0.98755,-0.69126,0
,0.79681,-1.09761,0
,0.96056,-0.89365,0
,0.84357,-1.15254,0
,0.99659,-0.92459,0
,0.83011,-1.27915,0
,1.05696,-0.92364,0
,0.81449,-1.43038,0
,1.09113,-0.99594,0
,0.83718,-1.41081,0
,1.08442,-0.9088,0
,0.71746,-1.40197,0
,1.1139,-0.75757,0
,0.62236,-1.39186,0
,1.0791,-0.70879,0
,0.66817,-1.2943,0
,1.00298,-0.72457,0
,0.55796,-1.25342,0
,0.91321,-0.65069,0
,0.54731,-1.06682,0
,0.80001,-0.63822,0
,0.53105,-0.95363,0
,0.73754,-0.65101,0
,0.45778,-0.87297,0
,0.68045,-0.60728,0
,0.41694,-0.80856,0
,0.61001,-0.52724,0
,0.39914,-0.72899,0
,0.53054,-0.53151,0
,0.32117,-0.75694,0
,0.5088,-0.52077,0
,0.32618,-0.73073,0
,0.48919,-0.48967,0
,0.28077,-0.79293,0
,0.41473,-0.59497,0
,0.25413,-0.85702,0
,0.44061,-0.57081,0
,0.26554,-0.85686,0
,0.37428,-0.65227,0
,0.25717,-0.81282,0
,0.41654,-0.57823,0
,0.30219,-0.71352,0
,0.4401,-0.52046,0
,0.33857,-0.61486,0
,0.43754,-0.47767,0
,0.35333,-0.58029,0
,0.44357,-0.43963,0
,0.33561,-0.52219,0
,0.44914,-0.38201,0
,0.34082,-0.50183,0
,0.42526,-0.36338,0
,0.30567,-0.47736,0
,0.45588,-0.26803,0
,0.22943,-0.49251,0
,0.44239,-0.18863,0
,0.22075,-0.4259,0
,0.36324,-0.16621,0
,0.20729,-0.36764,0
,0.31967,-0.16005,0
,0.14586,-0.35691,0
,0.29335,-0.12422,0
,0.08994,-0.31713,0
,0.22308,-0.09517,0
,0.06828,-0.28808,0
,0.18575,-0.10717,0
,0.04137,-0.27466,0
,0.17632,-0.05792,0
,-0.00294,-0.27198,0
,0.14897,-0.0336,0
,-0.04682,-0.25809,0
,0.07653,-0.08854,0
,-0.07511,-0.24009,0
,0.10529,-0.03029,0
,-0.16595,-0.23504,0
,0.00116,-0.05413,0
,-0.48162,-0.23157,0
,-0.1272,-0.07986,0
,-0.65492,-0.18721,0
,-0.38404,0.42025,0
,-0.78541,0.17635,0
,-0.56326,0.59043,0
,-0.84598,0.54228,0
,-0.69623,0.76329,0
,-0.98314,0.51103,0
,-0.73822,0.76661,0
,-1.03546,0.56202,0
,-0.80325,0.89416,0
,-1.03767,0.71167,0
,-0.83959,1.00751,0
,-1.00224,0.73551,0
,-0.83493,0.9442,0
,-0.87861,0.56486,0
,-0.77338,0.85201,0
,-0.86745,0.47819,0
,-0.6651,0.82754,0
,-0.89471,0.53202,0
,-0.68621,0.79976,0
,-0.92731,0.58664,0
,-0.68665,0.84001,0
,-0.95272,0.6801,0
,-0.78482,0.90789,0
,-0.93879,0.76976,0
,-0.83915,0.8629,0
,-0.94739,0.73993,0
,-0.82136,0.84791,0
,-0.92549,0.71546,0
,-0.80597,0.86022,0
,-0.87321,0.72761,0
,-0.80242,0.83544,0
,-0.88504,0.73567,0
,-0.79196,0.84996,0
,-0.91109,0.74072,0
,-0.79484,0.88832,0
,-0.90959,0.78981,0
,-0.83095,0.88074,0
,-0.92202,0.81065,0
,-0.82882,0.91516,0
,-0.90864,0.80197,0
,-0.82684,0.89179,0
,-0.88654,0.80591,0
,-0.81011,0.89006,0
,-0.89254,0.73156,0
